site_no,station_nm,date,gage_ht
06453600,"Ponca Creek at Verdel, Nebr.",2019-03-26 12:45:00,8.73
06461500,"Niobrara River near Sparks, Nebr.",2019-03-26 12:15:00,5.17
06461500,"Niobrara River near Sparks, Nebr.",2019-03-26 12:15:00,5.26
06463500,"Long Pine Creek near Riverview, Nebr.",2019-03-26 12:45:00,2.37
06463720,"Niobrara River at Mariaville, Nebr.",2019-03-26 12:45:00,3.78
06465500,"Niobrara River near Verdel, Nebr.",2019-03-26 12:15:00,3.67
06465700,"Verdigre Creek near Verdigre, Nebr.",2019-03-26 12:45:00,3.02
06466000,"Niobrara River at Niobrara, Nebr.",2019-03-14 11:45:00,36.15
06466010,"Missouri River at Niobrara, Nebr.",2019-03-26 12:15:00,20.09
06466400,"Bazile Creek at Center, Nebr.",2019-03-26 13:00:00,4.84
06466470,"Howe Creek below Walker Draw near Center, Nebr.",2019-03-26 12:15:00,3.04
06466500,"Bazile Creek near Niobrara, Nebr.",2019-03-24 11:00:00,2.37
06467500,"MISSOURI R AT YANKTON,SD",2019-03-26 12:30:00,12.04
06478522,"Bow Creek near Wynot, Nebr.",2019-03-26 12:30:00,3.12
06478523,"MISSOURI RIVER NR ST. JAMES, NE",2019-03-26 12:30:00,35.33
06478526,"Missouri River near Maskell, Nebr.",2019-03-26 12:15:00,22.48
06486000,"Missouri River at Sioux City, IA",2019-03-26 13:00:00,20.92
06600900,"South Omaha Creek at Walthill, Nebr.",2019-03-26 13:00:00,6.97
06601000,"Omaha Creek at Homer, Nebr.",2019-03-26 12:45:00,3.62
06601200,"Missouri River at Decatur, NE",2019-03-26 13:00:00,29.3
06609100,"Missouri River at Blair, NE",2019-03-26 13:00:00,24.52
06610000,"Missouri River at Omaha, NE",2019-03-26 13:00:00,26.45
06610705,"Big Papillion Creek near Blair, Nebr.",2019-03-26 12:15:00,11.62
06610710,"Big Papillion Creek near Kennard, Nebr.",2019-03-26 13:00:00,8.74
06610720,"Big Papillion Creek near Bennington, Nebr.",2019-03-26 13:05:00,5.97
06610732,"Big Papillion Creek at Fort Street at Omaha, Nebr.",2019-03-26 12:20:00,4.24
06610732,"Big Papillion Creek at Fort Street at Omaha, Nebr.",2019-03-26 12:20:00,4.19
06610740,"Big Papillion Creek at Pacific St at Omaha, Nebr.",2019-03-26 12:35:00,10.77
06610742,"Thomas Creek near Bennington, Nebr.",2019-03-26 13:00:00,2.29
06610750,"Little Papillion Creek at Irvington, Nebr.",2019-03-26 12:50:00,4.71
06610750,"Little Papillion Creek at Irvington, Nebr.",2019-03-26 12:50:00,4.56
06610760,"Cole Creek at Blondo Street at Omaha, Nebr.",2019-03-26 13:05:00,5.18
06610765,"Little Papillion Cr at Ak-Sar-Ben at Omaha, Nebr.",2019-03-26 12:40:00,2.64
06610770,"Big Papillion Creek at Q Street at Omaha, Nebr.",2019-03-26 13:05:00,8.78
06610773,"West Papillion Creek at Elkhorn, Nebr.",2019-03-26 13:05:00,3.3
06610780,"West Papillion Creek at Pacific St at Omaha, Nebr.",2019-03-26 12:50:00,9.06
06610785,"West Papillion Creek at Millard, Nebr.",2019-03-26 13:05:00,9.79
06610786,"South Papillion Creek near Gretna, Nebr.",2019-03-26 13:05:00,5.4
06610788,"South Papillion Creek at Chalco, Nebr.",2019-03-26 12:30:00,16.42
06610793,"West Papillion Creek at Papillion, Nebr.",2019-03-26 12:30:00,10.76
06610795,"Papillion Creek at Fort Crook, Nebr.",2019-03-26 13:05:00,16.72
06610795,"Papillion Creek at Fort Crook, Nebr.",2019-03-26 13:05:00,16.05
06674500,NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LINE,2019-03-26 11:45:00,2.26
06680500,"North Platte River at Scottsbluff, Nebr.",2019-03-26 12:00:00,5.34
06762500,"Lodgepole Creek at Bushnell, Nebr.",2019-03-26 11:45:00,3.09
06764880,"South Platte River at Roscoe, Nebr.",2019-03-26 11:30:00,4.67
06768000,"Platte River near Overton, Nebr.",2019-03-26 13:00:00,4.24
06768020,"Spring Creek near Overton, Nebr.",2019-03-26 12:45:00,5.46
06768025,"Platte R,So-Ch,Cottonwood Ranch nr Overton, Nebr.",2019-03-26 13:00:00,6.11
06768035,"Platte R Mid-Ch, Cottonwood Ranch nr Elm Cr, Nebr.",2019-03-26 12:45:00,5.48
06769000,"Buffalo Creek near Overton, Nebr.",2019-03-26 12:45:00,5.93
06769525,"Elm Creek near Elm Creek, Nebr.",2019-03-26 12:45:00,1.07
06770200,"Platte River near Kearney, Nebr.",2019-03-26 12:15:00,3.66
06770500,"Platte River near Grand Island, Nebr.",2019-03-26 12:15:00,4.55
06772100,"Wood River at Grand Island, Nebr.",2019-03-26 12:00:00,14.23
06772775,"Warm Slough near Central City, Nebr.",2019-03-26 12:45:00,5.39
06772898,"Silver Creek, at Mile 4 near Silver Creek, Nebr.",2019-03-26 12:45:00,6.23
06773500,"Prairie Creek near Silver Creek, Nebr.",2019-03-26 12:45:00,6.27
06774000,"Platte River near Duncan, Nebr.",2019-03-26 12:30:00,5.07
06775500,"Middle Loup River at Dunning, Nebr.",2019-03-26 12:45:00,3.4
06775900,"Dismal River near Thedford, Nebr.",2019-03-26 12:45:00,0.46
06777495,"Middle Loup River near Gates, Nebr.",2019-03-26 12:15:00,4.79
06781600,"South Loup River at Arnold, Nebr.",2019-03-26 12:45:00,5.96
06781900,"South Loup River at Pressey WMA near Oconto, Nebr.",2019-03-26 12:45:00,0.73
06781900,"South Loup River at Pressey WMA near Oconto, Nebr.",2019-03-26 12:45:00,0.87
06784000,"South Loup River at Saint Michael, Nebr.",2019-03-26 12:45:00,1.68
06785000,"Middle Loup River at Saint Paul, Nebr.",2019-03-26 11:30:00,0.02
06785500,"North Loup River at Brewster, Nebr.",2019-03-26 12:45:00,3.06
06786000,"North Loup River at Taylor, Nebr.",2019-03-26 12:45:00,3.5
06790500,"North Loup River near Saint Paul, Nebr.",2019-03-26 12:15:00,2.83
06792500,"Loup River Power Canal near Genoa, Nebr.",2019-03-26 12:45:00,2.75
06793000,"Loup River near Genoa, Nebr.",2019-03-26 12:45:00,5.4
06794000,"Beaver Creek at Genoa, Nebr.",2019-03-26 12:45:00,5.1
06794650,"Clear Creek 1.75 mile W of Polk County line, Nebr.",2019-03-26 12:45:00,6.83
06795500,"Shell Creek near Columbus, Nebr.",2019-03-26 12:30:00,3.5
06796000,"Platte River at North Bend, Nebr.",2019-03-26 12:15:00,4.21
06796500,"Platte River near Leshara, Nebr.",2019-03-26 12:00:00,5.97
06796550,"Platte River near Venice, Nebr.",2019-03-26 12:15:00,12.83
06797500,"Elkhorn River at Ewing, Nebr.",2019-03-26 12:45:00,5.75
06799000,"Elkhorn River at Norfolk, Nebr.",2019-03-26 12:15:00,4.69
06799100,"North Fork Elkhorn River near Pierce, Nebr.",2019-03-26 12:45:00,6.51
06799315,"Elkhorn River at Pilger, Nebr.",2019-03-26 12:45:00,8.2
06799350,"Elkhorn River at West Point, Nebr.",2019-03-26 12:15:00,5.3
06799350,"Elkhorn River at West Point, Nebr.",2019-03-26 12:15:00,5.23
06799445,"Logan Creek at Wakefield, Nebr.",2019-03-26 12:45:00,10.12
06799500,"Logan Creek near Uehling, Nebr.",2019-03-26 12:15:00,5.7
06800000,"Maple Creek near Nickerson, Nebr.",2019-03-26 12:45:00,3.04
06800500,"Elkhorn River at Waterloo, Nebr.",2019-03-26 12:15:00,6.02
06801000,"Platte River near Ashland, Nebr.",2019-03-26 12:15:00,17.36
06803000,"Salt Creek at Roca, Nebr.",2019-03-26 12:25:00,3.35
06803080,"Salt Creek at Pioneers Boulevard at Lincoln, Nebr.",2019-03-26 12:40:00,6.29
06803093,"Haines Branch at SW 56th St at Lincoln, Nebr.",2019-03-26 12:35:00,3.85
06803170,"Middle Creek at SW 63rd St at Lincoln, Nebr.",2019-03-26 12:15:00,2.53
06803300,"Antelope Creek at 27th Street at Lincoln, Nebr.",2019-03-26 12:10:00,3.8
06803420,"North Oak Creek near Touhy, Nebr.",2019-03-26 13:00:00,4.76
06803430,"North Oak Creek at Valparaiso, Nebr.",2019-03-25 10:30:00,5.71
06803430,"North Oak Creek at Valparaiso, Nebr.",2019-03-25 10:30:00,5.52
06803486,"Oak Creek at Air Park Road at Lincoln, Nebr.",2019-03-26 12:40:00,2.85
06803495,"Salt Creek at Fairgrounds at Lincoln, Nebr.",2019-03-26 12:35:00,10.72
06803500,"Salt Creek at 27th Street at Lincoln, Nebr.",2019-03-26 12:25:00,3.67
06803502,"Deadmans Run at 38th Street at Lincoln, Nebr.",2019-03-26 12:25:00,8.05
06803510,"Little Salt Creek near Lincoln, Nebr.",2019-03-26 12:45:00,2.08
06803513,"Salt Creek at 70th Street at Lincoln, Nebr.",2019-03-26 12:15:00,5.57
06803520,"Stevens Creek near Lincoln, Nebr.",2019-03-26 12:30:00,1.17
06803530,"Rock Creek near Ceresco, Nebr.",2019-03-26 12:45:00,5.62
06803555,"Salt Creek at Greenwood, Nebr.",2019-03-26 12:15:00,4.41
06804000,"Wahoo Creek at Ithaca, Nebr.",2019-03-26 12:15:00,6.84
06804700,"Wahoo Creek at Ashland, Nebr.",2019-03-26 12:45:00,8.16
06805000,"Salt Creek Near Ashland, Nebr.",2019-03-26 12:45:00,9.94
06805500,"Platte River at Louisville, Nebr.",2019-03-26 12:15:00,5.24
06805600,"Missouri River at Plattsmouth, NE",2019-03-26 12:15:00,29.35
06806500,"Weeping Water Creek at Union, Nebr.",2019-03-26 12:15:00,8.07
06806500,"Weeping Water Creek at Union, Nebr.",2019-03-26 12:15:00,7.9
06807000,"Missouri River at Nebraska City, NE",2019-03-26 13:00:00,21.61
06810070,"Missouri River at Brownville, NE",2019-03-26 12:15:00,38.42
06811500,"Little Nemaha River at Auburn, Nebr.",2019-03-26 12:15:00,5.91
06813500,"Missouri River at Rulo, NE",2019-03-26 13:00:00,24.05
06814500,"North Fork Big Nemaha River at Humboldt, Nebr.",2019-03-26 13:00:00,2.81
06815000,"Big Nemaha River at Falls City, Nebr.",2019-03-26 12:45:00,5.48
06821500,"Arikaree River at Haigler, Nebr.",2019-03-26 12:00:00,5.15
06823000,North Fork Republican River at Colorado-Nebraska,2019-03-26 11:30:00,1.44
06823000,North Fork Republican River at Colorado-Nebraska,2019-03-26 11:30:00,1.44
06823500,"Buffalo Creek near Haigler, Nebr.",2019-03-26 11:45:00,1.4
06824000,"Rock Creek at Parks, Nebr.",2019-03-26 11:45:00,1.16
06824500,"Republican River at Benkelman, Nebr.",2019-03-26 11:30:00,3.78
06824500,"Republican River at Benkelman, Nebr.",2019-03-26 11:30:00,3.78
06827500,"South Fork Republican River near Benkelman, Nebr.",2019-03-26 11:30:00,1.75
06828500,"Republican River at Stratton, Nebr.",2019-03-26 12:45:00,6.73
06828500,"Republican River at Stratton, Nebr.",2019-03-26 12:45:00,6.73
06834000,"Frenchman Creek at Palisade, Nebr.",2019-03-26 12:45:00,2.53
06835500,"Frenchman Creek at Culbertson, Nebr.",2019-03-26 12:15:00,3.78
06836500,"Driftwood Creek near McCook, Nebr.",2019-03-26 12:30:00,2.87
06837000,"Republican River at McCook, Nebr.",2019-03-26 12:30:00,4.47
06838000,"Red Willow Creek near Red Willow, Nebr.",2019-03-26 12:30:00,4.45
06843500,"Republican River at Cambridge, Nebr.",2019-03-26 12:45:00,3.27
06844500,"Republican River near Orleans, Nebr.",2019-03-26 12:30:00,3.06
06844500,"Republican River near Orleans, Nebr.",2019-03-26 12:45:00,3.06
06847000,"Beaver Creek near Beaver City, Nebr.",2019-03-26 12:30:00,3.28
06847500,"Sappa Creek near Stamford, Nebr.",2019-03-26 12:00:00,8.03
06853020,"Republican River at Guide Rock, Nebr.",2019-03-26 12:30:00,5.3
06853500,"REPUBLICAN R NR HARDY, NE",2019-03-26 12:30:00,3.61
06880800,"West Fork Big Blue River near Dorchester, Nebr.",2019-03-26 12:00:00,5.43
06881000,"Big Blue River near Crete, Nebr.",2019-03-26 12:45:00,13.16
06881380,"Turkey Creek near DeWitt, Nebr.",2019-03-26 12:45:00,13.36
06881380,"Turkey Creek near DeWitt, Nebr.",2018-12-11 01:00:00,11.36
06882000,"Big Blue River at Barneston, Nebr.",2019-03-26 13:00:00,7.38
06882000,"Big Blue River at Barneston, Nebr.",2019-03-26 13:00:00,7.39
06883000,"Little Blue River near Deweese, Nebr.",2019-03-26 12:15:00,3.73
06883000,"Little Blue River near Deweese, Nebr.",2019-03-26 12:15:00,3.77
06883530,"Little Blue River at County Line nr Deshler, Nebr.",2019-03-26 12:45:00,8.93
06883530,"Little Blue River at County Line nr Deshler, Nebr.",2019-03-26 12:45:00,7.59
06884000,"Little Blue River near Fairbury, Nebr.",2019-03-26 12:45:00,8.5
06884025,"Little Blue River at Hollenberg, KS",2019-03-26 13:00:00,4.08
